Comunidades y ciudades autónomas de residencia,Sexo,Medio empleado,Total
Andalucía,Ambos sexos,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,1.0
Andalucía,Ambos sexos,X83. Lesión autoinfligida intencionalmente por otros medios especificados,1.0
Andalucía,Ambos sexos,X84. Lesión autoinfligida intencionalmente por medios no especificados,0.0
Andalucía,Hombres,Total,651.0
Andalucía,Hombres,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",0.0
Andalucía,Hombres,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",11.0
Andalucía,Hombres,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",4.0
Andalucía,Hombres,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,0.0
Andalucía,Hombres,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",21.0
Andalucía,Hombres,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,1.0
Andalucía,Hombres,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,0.0
Andalucía,Hombres,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,13.0
Andalucía,Hombres,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,2.0
Andalucía,Hombres,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",17.0
Andalucía,Hombres,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",382.0
Andalucía,Hombres,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,9.0
Andalucía,Hombres,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,9.0
Andalucía,Hombres,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",21.0
Andalucía,Hombres,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",13.0
Andalucía,Hombres,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
Andalucía,Hombres,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",6.0
Andalucía,Hombres,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
Andalucía,Hombres,X78. Lesión autoinfligida intencionalmente por objeto cortante,25.0
Andalucía,Hombres,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
Andalucía,Hombres,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,110.0
Andalucía,Hombres,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,6.0
Andalucía,Hombres,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,1.0
Andalucía,Hombres,X83. Lesión autoinfligida intencionalmente por otros medios especificados,0.0
Andalucía,Hombres,X84. Lesión autoinfligida intencionalmente por medios no especificados,0.0
Andalucía,Mujeres,Total,179.0
Andalucía,Mujeres,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",0.0
Andalucía,Mujeres,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",16.0
Andalucía,Mujeres,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",2.0
Andalucía,Mujeres,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,0.0
Andalucía,Mujeres,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",13.0
Andalucía,Mujeres,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,0.0
Andalucía,Mujeres,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,4.0
Andalucía,Mujeres,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,0.0
Andalucía,Mujeres,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,0.0
Andalucía,Mujeres,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",9.0
Andalucía,Mujeres,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",66.0
Andalucía,Mujeres,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,6.0
Andalucía,Mujeres,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,0.0
Andalucía,Mujeres,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",1.0
Andalucía,Mujeres,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",0.0
Andalucía,Mujeres,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
Andalucía,Mujeres,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",3.0
Andalucía,Mujeres,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
Andalucía,Mujeres,X78. Lesión autoinfligida intencionalmente por objeto cortante,1.0
Andalucía,Mujeres,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
Andalucía,Mujeres,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,55.0
Andalucía,Mujeres,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,2.0
Andalucía,Mujeres,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,0.0
Andalucía,Mujeres,X83. Lesión autoinfligida intencionalmente por otros medios especificados,1.0
Andalucía,Mujeres,X84. Lesión autoinfligida intencionalmente por medios no especificados,0.0
Aragón,Ambos sexos,Total,114.0
Aragón,Ambos sexos,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",0.0
Aragón,Ambos sexos,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",10.0
Aragón,Ambos sexos,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",1.0
Aragón,Ambos sexos,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,0.0
Aragón,Ambos sexos,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",7.0
Aragón,Ambos sexos,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,0.0
Aragón,Ambos sexos,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,0.0
Aragón,Ambos sexos,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,1.0
Aragón,Ambos sexos,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,0.0
Aragón,Ambos sexos,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",4.0
Aragón,Ambos sexos,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",48.0
Aragón,Ambos sexos,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,2.0
Aragón,Ambos sexos,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,1.0
Aragón,Ambos sexos,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",6.0
Aragón,Ambos sexos,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",1.0
Aragón,Ambos sexos,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
Aragón,Ambos sexos,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",1.0
Aragón,Ambos sexos,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
Aragón,Ambos sexos,X78. Lesión autoinfligida intencionalmente por objeto cortante,1.0
Aragón,Ambos sexos,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
Aragón,Ambos sexos,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,27.0
Aragón,Ambos sexos,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,2.0
Aragón,Ambos sexos,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,0.0
Aragón,Ambos sexos,X83. Lesión autoinfligida intencionalmente por otros medios especificados,1.0
Aragón,Ambos sexos,X84. Lesión autoinfligida intencionalmente por medios no especificados,1.0
Aragón,Hombres,Total,86.0
Aragón,Hombres,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",0.0
Aragón,Hombres,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",4.0
Aragón,Hombres,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",1.0
Aragón,Hombres,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,0.0
Aragón,Hombres,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",4.0
Aragón,Hombres,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,0.0
Aragón,Hombres,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,0.0
Aragón,Hombres,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,1.0
Aragón,Hombres,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,0.0
Aragón,Hombres,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",4.0
Aragón,Hombres,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",40.0
Aragón,Hombres,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,1.0
Aragón,Hombres,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,1.0
Aragón,Hombres,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",5.0
Aragón,Hombres,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",1.0
Aragón,Hombres,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
Aragón,Hombres,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",1.0
Aragón,Hombres,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
Aragón,Hombres,X78. Lesión autoinfligida intencionalmente por objeto cortante,1.0
Aragón,Hombres,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
Aragón,Hombres,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,18.0
Aragón,Hombres,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,2.0
Aragón,Hombres,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,0.0
Aragón,Hombres,X83. Lesión autoinfligida intencionalmente por otros medios especificados,1.0
Aragón,Hombres,X84. Lesión autoinfligida intencionalmente por medios no especificados,1.0
Aragón,Mujeres,Total,28.0
Aragón,Mujeres,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",0.0
Aragón,Mujeres,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",6.0
Aragón,Mujeres,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",0.0
Aragón,Mujeres,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,0.0
Aragón,Mujeres,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",3.0
Aragón,Mujeres,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,0.0
Aragón,Mujeres,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,0.0
Aragón,Mujeres,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,0.0
Aragón,Mujeres,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,0.0
Aragón,Mujeres,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",0.0
Aragón,Mujeres,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",8.0
Aragón,Mujeres,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,1.0
Aragón,Mujeres,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,0.0
Aragón,Mujeres,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",1.0
Aragón,Mujeres,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",0.0
Aragón,Mujeres,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
Aragón,Mujeres,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",0.0
Aragón,Mujeres,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
Aragón,Mujeres,X78. Lesión autoinfligida intencionalmente por objeto cortante,0.0
Aragón,Mujeres,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
Aragón,Mujeres,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,9.0
Aragón,Mujeres,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,0.0
Aragón,Mujeres,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,0.0
Aragón,Mujeres,X83. Lesión autoinfligida intencionalmente por otros medios especificados,0.0
Aragón,Mujeres,X84. Lesión autoinfligida intencionalmente por medios no especificados,0.0
"Asturias, Principado de",Ambos sexos,Total,126.0
"Asturias, Principado de",Ambos sexos,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",0.0
"Asturias, Principado de",Ambos sexos,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",11.0
"Asturias, Principado de",Ambos sexos,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",3.0
"Asturias, Principado de",Ambos sexos,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,0.0
"Asturias, Principado de",Ambos sexos,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",2.0
"Asturias, Principado de",Ambos sexos,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,0.0
"Asturias, Principado de",Ambos sexos,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,1.0
"Asturias, Principado de",Ambos sexos,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,1.0
"Asturias, Principado de",Ambos sexos,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,0.0
"Asturias, Principado de",Ambos sexos,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",0.0
"Asturias, Principado de",Ambos sexos,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",39.0
"Asturias, Principado de",Ambos sexos,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,7.0
"Asturias, Principado de",Ambos sexos,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,2.0
"Asturias, Principado de",Ambos sexos,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",4.0
"Asturias, Principado de",Ambos sexos,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",0.0
"Asturias, Principado de",Ambos sexos,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
